LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1097.715632,1097.715612,1661327416.002402,38769.333,4201,3,MZ,1,100,-36
1097.751079,1097.751059,1661327416.037849,38803.667,4201,3,MZ,1,100,-37
1097.786526,1097.786506,1661327416.073296,38838.000,4201,3,MZ,1,100,-36
1097.827135,1097.827115,1661327416.113905,38877.333,4217,3,MZ,1,100,-37
1097.867745,1097.867725,1661327416.154515,38916.667,4217,3,MZ,1,100,-36
1097.908354,1097.908334,1661327416.195124,38956.000,4217,3,MZ,1,100,-38
1097.949135,1097.949115,1661327416.235905,38995.500,4236,2,MZ,1,100,-36
1097.989917,1097.989897,1661327416.276687,39035.000,4236,2,MZ,1,100,-38
1098.029838,1098.029818,1661327416.316608,39073.667,4251,3,MZ,1,100,-37
1098.069759,1098.069739,1661327416.356529,39112.333,4251,3,MZ,1,100,-37
1098.109680,1098.109660,1661327416.396450,39151.000,4251,3,MZ,1,100,-38
1098.149257,1098.149237,1661327416.436027,39189.333,4270,3,MZ,1,100,-38
1098.188834,1098.188813,1661327416.475604,39227.667,4270,3,MZ,1,100,-37
1098.228410,1098.228390,1661327416.515181,39266.000,4270,3,MZ,1,100,-38
1098.268159,1098.268139,1661327416.554929,39304.500,4286,2,MZ,1,100,-37
1098.307908,1098.307888,1661327416.594678,39343.000,4286,2,MZ,1,100,-38
1098.347485,1098.347465,1661327416.634255,39381.333,4303,3,MZ,1,100,-37
1098.387062,1098.387042,1661327416.673832,39419.667,4303,3,MZ,1,100,-38
1098.426639,1098.426619,1661327416.713409,39458.000,4303,3,MZ,1,100,-38
1098.467937,1098.467916,1661327416.754707,39498.000,4325,2,MZ,1,100,-37
1098.509234,1098.509214,1661327416.796004,39538.000,4325,2,MZ,1,100,-38
1098.549499,1098.549479,1661327416.836270,39577.000,4340,3,MZ,1,100,-36
1098.589765,1098.589744,1661327416.876535,39616.000,4340,3,MZ,1,100,-36
1098.630030,1098.630010,1661327416.916800,39655.000,4340,3,MZ,1,100,-37
1098.669951,1098.669931,1661327416.956721,39693.667,4356,3,MZ,1,100,-36
1098.709872,1098.709852,1661327416.996642,39732.333,4356,3,MZ,1,100,-38
1098.749793,1098.749773,1661327417.036563,39771.000,4356,3,MZ,1,100,-36
1098.789025,1098.789005,1661327417.075796,39809.000,4376,2,MZ,1,100,-37
1098.828258,1098.828238,1661327417.115028,39847.000,4376,2,MZ,1,100,-37
1098.867835,1098.867815,1661327417.154605,39885.333,4392,3,MZ,1,100,-36
1098.907412,1098.907392,1661327417.194182,39923.667,4392,3,MZ,1,100,-38
1098.946989,1098.946969,1661327417.233759,39962.000,4392,3,MZ,1,100,-37
1098.986910,1098.986890,1661327417.273680,40000.667,4409,3,MZ,1,100,-37
1099.026831,1099.026811,1661327417.313601,40039.333,4409,3,MZ,1,100,-36
1099.066752,1099.066732,1661327417.353522,40078.000,4409,3,MZ,1,100,-37
1099.108049,1099.108029,1661327417.394820,40118.000,4424,2,MZ,1,100,-36
1099.149347,1099.149327,1661327417.436117,40158.000,4424,2,MZ,1,100,-36
1099.189612,1099.189592,1661327417.476382,40197.000,4443,3,MZ,1,100,-36
1099.229877,1099.229857,1661327417.516648,40236.000,4443,3,MZ,1,100,-36
1099.270143,1099.270122,1661327417.556913,40275.000,4443,3,MZ,1,100,-36
1099.309891,1099.309871,1661327417.596662,40313.500,4459,2,MZ,1,100,-37
1099.349640,1099.349620,1661327417.636411,40352.000,4459,2,MZ,1,100,-37
1099.389217,1099.389197,1661327417.675988,40390.333,4479,3,MZ,1,100,-36
1099.428794,1099.428774,1661327417.715564,40428.667,4479,3,MZ,1,100,-37
1099.468371,1099.468351,1661327417.755141,40467.000,4479,3,MZ,1,100,-36
1099.508636,1099.508616,1661327417.795407,40506.000,4495,3,MZ,1,100,-36
1099.548901,1099.548881,1661327417.835672,40545.000,4495,3,MZ,1,100,-37
1099.589167,1099.589146,1661327417.875937,40584.000,4495,3,MZ,1,100,-38
1099.628399,1099.628379,1661327417.915170,40622.000,4510,2,MZ,1,100,-37
1099.667632,1099.667612,1661327417.954402,40660.000,4510,2,MZ,1,100,-36
1099.708241,1099.708221,1661327417.995012,40699.333,4529,3,MZ,1,100,-36
1099.748851,1099.748831,1661327418.035621,40738.667,4529,3,MZ,1,100,-36
1099.789460,1099.789440,1661327418.076230,40778.000,4529,3,MZ,1,100,-37
1099.829725,1099.829705,1661327418.116496,40817.000,4546,3,MZ,1,100,-37
1099.869990,1099.869970,1661327418.156761,40856.000,4546,3,MZ,1,100,-36
1099.910255,1099.910235,1661327418.197026,40895.000,4546,3,MZ,1,100,-36
1099.950176,1099.950156,1661327418.236947,40933.667,4570,3,MZ,1,100,-36
1099.990097,1099.990077,1661327418.276868,40972.333,4570,3,MZ,1,100,-36
1100.030018,1100.029998,1661327418.316789,41011.000,4570,3,MZ,1,100,-36
1100.069939,1100.069919,1661327418.356710,41049.667,4588,3,MZ,1,100,-36
1100.109860,1100.109840,1661327418.396631,41088.333,4588,3,MZ,1,100,-36
1100.149782,1100.149761,1661327418.436552,41127.000,4588,3,MZ,1,100,-36
1100.190047,1100.190027,1661327418.476817,41166.000,4605,2,MZ,1,100,-37
1100.230312,1100.230292,1661327418.517082,41205.000,4605,2,MZ,1,100,-36
1100.269889,1100.269869,1661327418.556659,41243.333,4621,3,MZ,1,100,-36
1100.309466,1100.309446,1661327418.596236,41281.667,4621,3,MZ,1,100,-36
1100.349042,1100.349022,1661327418.635813,41320.000,4621,3,MZ,1,100,-36
1100.384490,1100.384469,1661327418.671260,41354.333,4640,3,MZ,1,100,-35
1100.419937,1100.419917,1661327418.706707,41388.667,4640,3,MZ,1,100,-36
1100.455384,1100.455364,1661327418.742154,41423.000,4640,3,MZ,1,100,-35
1100.495305,1100.495285,1661327418.782075,41461.667,4657,3,MZ,1,100,-36
1100.535226,1100.535206,1661327418.821996,41500.333,4657,3,MZ,1,100,-36
1100.575147,1100.575127,1661327418.861917,41539.000,4657,3,MZ,1,100,-36
