LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1132.867808,1132.867789,1661327451.154585,72817,10042,1,SA,1,100,0.000829
1133.400547,1133.400528,1661327451.687324,73333,10078,1,SA,1,100,0.000295
1133.865146,1133.865126,1661327452.151922,73783,10200,1,SA,1,100,0.000439
1134.263667,1134.263648,1661327452.550444,74169,10236,1,SA,1,100,0.000144
1135.200091,1135.200071,1661327453.486868,75076,10425,1,SA,1,100,0.000609
1135.731797,1135.731778,1661327454.018574,75591,10476,1,SA,1,100,0.000115
1136.397721,1136.397702,1661327454.684499,76236,10612,1,SA,1,100,0.000260
1136.798308,1136.798289,1661327455.085085,76624,10673,1,SA,1,100,0.000107
1137.197862,1137.197843,1661327455.484640,77011,10745,1,SA,1,100,0.000246
1137.798742,1137.798723,1661327456.085520,77593,10827,1,SA,1,100,0.000224
1138.066144,1138.066125,1661327456.352922,77852,10884,1,SA,1,100,0.000318
1138.398590,1138.398571,1661327456.685368,78174,10919,1,SA,1,100,0.000093
1138.597851,1138.597832,1661327456.884629,78367,11021,1,SA,1,100,0.001083
1139.198731,1139.198712,1661327457.485509,78949,11056,1,SA,1,100,0.000267
1139.596221,1139.596201,1661327457.882999,79334,11108,1,SA,1,100,0.000197
1139.933828,1139.933809,1661327458.220607,79661,11181,1,SA,1,100,0.000166
1140.467600,1140.467581,1661327458.754378,80178,11281,1,SA,1,100,0.000577
1140.931166,1140.931147,1661327459.217944,80627,11334,1,SA,1,100,0.000055
1141.131459,1141.131440,1661327459.418237,80821,11372,1,SA,1,100,0.000135
1141.330720,1141.330701,1661327459.617498,81014,11424,1,SA,1,100,0.000381
1141.663166,1141.663147,1661327459.949944,81336,11478,1,SA,1,100,0.000351
1141.998709,1141.998690,1661327460.285487,81661,11532,1,SA,1,100,0.000735
1144.057394,1144.057375,1661327462.344173,83655,11861,1,SA,1,100,0.000540
