LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1098.314619,1098.314599,1661327416.601389,39349.500,4287,4,EM,1,100,RB
1098.366499,1098.366479,1661327416.653270,39399.750,4287,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1098.418379,1098.418359,1661327416.705150,39450.000,4287,4,EM,1,100,PS
1098.470260,1098.470239,1661327416.757030,39500.250,4326,4,EM,1,100,RS
1098.522140,1098.522120,1661327416.808910,39550.500,4326,4,EM,1,100,RB
1098.574020,1098.574000,1661327416.860790,39600.750,4326,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1098.625900,1098.625880,1661327416.912670,39651.000,4326,4,EM,1,100,PS
1098.677780,1098.677760,1661327416.964550,39701.250,4357,4,EM,1,100,RS
1098.729660,1098.729640,1661327417.016430,39751.500,4357,4,EM,1,100,RB
1098.781540,1098.781520,1661327417.068310,39801.750,4357,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1098.833420,1098.833400,1661327417.120191,39852.000,4357,4,EM,1,100,PS
1098.885301,1098.885280,1661327417.172071,39902.250,4393,4,EM,1,100,RS
1098.937181,1098.937161,1661327417.223951,39952.500,4393,4,EM,1,100,RB
1098.989061,1098.989041,1661327417.275831,40002.750,4393,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1099.040941,1099.040921,1661327417.327711,40053.000,4393,4,EM,1,100,PS
1099.092821,1099.092801,1661327417.379591,40103.250,4427,4,EM,1,100,RS
1099.144701,1099.144681,1661327417.431471,40153.500,4427,4,EM,1,100,RB
1099.196581,1099.196561,1661327417.483351,40203.750,4427,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1099.248461,1099.248441,1661327417.535232,40254.000,4427,4,EM,1,100,PS
1099.300341,1099.300321,1661327417.587112,40304.250,4460,4,EM,1,100,RS
1099.352222,1099.352201,1661327417.638992,40354.500,4460,4,EM,1,100,RB
1099.404102,1099.404082,1661327417.690872,40404.750,4460,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1099.455982,1099.455962,1661327417.742752,40455.000,4460,4,EM,1,100,PS
1099.507862,1099.507842,1661327417.794632,40505.250,4496,4,EM,1,100,RS
1099.559742,1099.559722,1661327417.846512,40555.500,4496,4,EM,1,100,RB
1099.611622,1099.611602,1661327417.898392,40605.750,4496,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1099.663502,1099.663482,1661327417.950273,40656.000,4496,4,EM,1,100,PS
1099.715382,1099.715362,1661327418.002153,40706.250,4530,4,EM,1,100,RS
1099.767262,1099.767242,1661327418.054033,40756.500,4530,4,EM,1,100,RB
1099.819143,1099.819122,1661327418.105913,40806.750,4530,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1099.871023,1099.871003,1661327418.157793,40857.000,4530,4,EM,1,100,PS
1099.930388,1099.930368,1661327418.217159,40914.500,4571,4,EM,1,100,RS
1099.989753,1099.989733,1661327418.276524,40972.000,4571,4,EM,1,100,RB
1100.049119,1100.049099,1661327418.335889,41029.500,4571,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1100.108484,1100.108464,1661327418.395254,41087.000,4571,4,EM,1,100,PS
1100.160364,1100.160344,1661327418.447134,41137.250,4606,4,EM,1,100,RS
1100.212244,1100.212224,1661327418.499015,41187.500,4606,4,EM,1,100,RB
1100.264124,1100.264104,1661327418.550895,41237.750,4606,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1100.316004,1100.315984,1661327418.602775,41288.000,4606,4,EM,1,100,PS
1100.368401,1100.368381,1661327418.655171,41338.750,4641,4,EM,1,100,RS
1100.420797,1100.420777,1661327418.707568,41389.500,4641,4,EM,1,100,RB
1100.473193,1100.473173,1661327418.759964,41440.250,4641,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1100.525590,1100.525570,1661327418.812360,41491.000,4641,4,EM,1,100,PS
