LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1164.463573,1164.463554,1661327482.750356,103420,15137,4,TX,1,100,2022-08-24_09-51-22-681704,1164.3949152,
1166.023590,1166.023571,1661327484.310373,104931,15403,4,TX,1,100,2022-08-24_09-51-24-215603,1165.9288145,
1167.525790,1167.525772,1661327485.812574,106386,15645,4,TX,1,100,2022-08-24_09-51-25-748958,1167.4621694,
1169.092002,1169.091984,1661327487.378786,107903,15892,4,TX,1,100,2022-08-24_09-51-27-307725,1169.0209344,
1170.553937,1170.553919,1661327488.840721,109319,16137,4,TX,1,100,2022-08-24_09-51-28-816153,1170.5293633,
1172.091240,1172.091222,1661327490.378025,110808,16402,4,TX,1,100,2022-08-24_09-51-30-348769,1172.0619813,
1173.651257,1173.651239,1661327491.938042,112319,16659,4,TX,1,100,2022-08-24_09-51-31-881823,1173.5950352,
1175.226761,1175.226743,1661327493.513546,113845,16925,4,TX,1,100,2022-08-24_09-51-33-414465,1175.1276764,
1176.676307,1176.676289,1661327494.963092,115249,17153,4,TX,1,100,2022-08-24_09-51-34-948061,1176.6612732,
1178.242518,1178.242500,1661327496.529304,116766,17416,4,TX,1,100,2022-08-24_09-51-36-481802,1178.1950119,
1179.778789,1179.778771,1661327498.065575,118254,17665,4,TX,1,100,2022-08-24_09-51-38-014948,1179.7281595,
1181.359455,1181.359437,1661327499.646241,119785,17881,4,TX,1,100,2022-08-24_09-51-39-572603,1181.2858159,
1182.842039,1182.842021,1661327501.128825,121221,18122,4,TX,1,100,2022-08-24_09-51-41-081436,1182.7946493,
1184.396894,1184.396876,1661327502.683681,122727,18385,4,TX,1,100,2022-08-24_09-51-42-614830,1184.3280418,
1185.957943,1185.957926,1661327504.244730,124239,18649,4,TX,1,100,2022-08-24_09-51-44-147458,1185.8606706,
1187.443625,1187.443607,1661327505.730412,125678,18890,4,TX,1,100,2022-08-24_09-51-45-680792,1187.3940041,
1188.985058,1188.985040,1661327507.271845,127171,19150,4,TX,1,100,2022-08-24_09-51-47-214168,1188.9273795,
1190.752595,1190.752577,1661327509.039383,128883,19449,4,TX,1,100,2022-08-24_09-51-48-747886,1190.4610983,
1192.016302,1192.016284,1661327510.303090,130107,19658,4,TX,1,100,2022-08-24_09-51-50-279283,1191.9924948,
1193.605227,1193.605210,1661327511.892016,131646,19920,4,TX,1,100,2022-08-24_09-51-51-840215,1193.5534254,
1195.072325,1195.072307,1661327513.359113,133067,20167,4,TX,1,100,2022-08-24_09-51-53-347429,1195.0606405,
1196.608595,1196.608578,1661327514.895385,134555,20433,4,TX,1,100,2022-08-24_09-51-54-880408,1196.5936210,
1198.137639,1198.137622,1661327516.424428,136036,20676,4,TX,1,100,2022-08-24_09-51-56-413320,1198.1265314,
1199.768895,1199.768877,1661327518.055684,137616,20952,4,TX,1,100,2022-08-24_09-51-57-946500,1199.6597113,
1201.207084,1201.207066,1661327519.493874,139009,21182,4,TX,1,100,2022-08-24_09-51-59-479037,1201.1922493,
1202.773295,1202.773278,1661327521.060086,140526,21444,4,TX,1,100,2022-08-24_09-52-01-013196,1202.7264089,
1204.287885,1204.287868,1661327522.574675,141993,21682,4,TX,1,100,2022-08-24_09-52-02-540965,1204.2541774,
1205.920173,1205.920155,1661327524.206964,143574,21940,4,TX,1,100,2022-08-24_09-52-04-078864,1205.7920560,
