LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,UN
1102.713229,1102.713209,1661327421.000000,44529,5157,2,UN,1,100,test
1180.713214,1180.713196,1661327499.000000,119288,17792,2,UN,1,100,veel ademen
