LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1116.748321,1116.748301,1661327435.035095,57204.000,7317,1,SF,1,100,72.2587
1117.145810,1117.145791,1661327435.432584,57589.000,7389,1,SF,1,100,73.5051
1117.478256,1117.478237,1661327435.765030,57911.000,7437,1,SF,1,100,72.6548
1117.742561,1117.742541,1661327436.029335,58167.000,7490,1,SF,1,100,73.8966
1118.076039,1118.076019,1661327436.362813,58490.000,7540,1,SF,1,100,75.1240
1118.405387,1118.405368,1661327436.692161,58809.000,7596,1,SF,1,100,76.3372
1118.736801,1118.736781,1661327437.023575,59130.000,7646,1,SF,1,100,75.4541
1119.140485,1119.140465,1661327437.427259,59521.000,7715,1,SF,1,100,76.6635
1119.469833,1119.469814,1661327437.756607,59840.000,7768,1,SF,1,100,77.8589
1119.739300,1119.739280,1661327438.026074,60101.000,7820,1,SF,1,100,79.0405
1120.075875,1120.075856,1661327438.362650,60427.000,7872,1,SF,1,100,78.1261
1120.407289,1120.407269,1661327438.694063,60748.000,7924,1,SF,1,100,79.3046
1120.808908,1120.808888,1661327439.095682,61137.000,7989,1,SF,1,100,78.3872
1121.208462,1121.208443,1661327439.495237,61524.000,8047,1,SF,1,100,77.4804
1121.409788,1121.409769,1661327439.696563,61719.000,8081,1,SF,1,100,76.5841
1121.808310,1121.808290,1661327440.095085,62105.000,8149,1,SF,1,100,75.6982
1122.141788,1122.141769,1661327440.428563,62428.000,8201,1,SF,1,100,76.9048
1122.405060,1122.405041,1661327440.691835,62683.000,8254,1,SF,1,100,78.0974
1122.738539,1122.738519,1661327441.025313,63006.000,8304,1,SF,1,100,79.2762
1123.067887,1123.067867,1661327441.354662,63325.000,8358,1,SF,1,100,80.4414
1123.400333,1123.400313,1661327441.687108,63647.000,8412,1,SF,1,100,81.5931
1123.799887,1123.799867,1661327442.086662,64034.000,8479,1,SF,1,100,82.7315
1124.135430,1124.135411,1661327442.422205,64359.000,8532,1,SF,1,100,83.8567
1124.400767,1124.400748,1661327442.687542,64616.000,8582,1,SF,1,100,82.8866
1124.736310,1124.736291,1661327443.023085,64941.000,8636,1,SF,1,100,84.0100
1125.066691,1125.066672,1661327443.353466,65261.000,8684,1,SF,1,100,83.0382
1125.400169,1125.400150,1661327443.686944,65584.000,8737,1,SF,1,100,82.0776
1125.800756,1125.800736,1661327444.087531,65972.000,8804,1,SF,1,100,83.2104
1126.067125,1126.067106,1661327444.353901,66230.000,8855,1,SF,1,100,82.2478
1126.399571,1126.399552,1661327444.686347,66552.000,8917,1,SF,1,100,83.3786
1126.733049,1126.733030,1661327445.019825,66875.000,8965,1,SF,1,100,82.4140
1127.067560,1127.067541,1661327445.354336,67199.000,9016,1,SF,1,100,83.5429
1127.467114,1127.467095,1661327445.753890,67586.000,9085,1,SF,1,100,84.6588
1127.734516,1127.734497,1661327446.021292,67845.000,9138,1,SF,1,100,83.6794
1128.067994,1128.067975,1661327446.354770,68168.000,9187,1,SF,1,100,82.7114
1128.396310,1128.396291,1661327446.683086,68486.000,9240,1,SF,1,100,83.8368
1128.732886,1128.732866,1661327447.019662,68812.000,9292,1,SF,1,100,84.9493
1129.130375,1129.130356,1661327447.417151,69197.000,9366,1,SF,1,100,86.0488
1129.464886,1129.464866,1661327447.751662,69521.000,9414,1,SF,1,100,85.0534
1129.795267,1129.795247,1661327448.082043,69841.000,9465,1,SF,1,100,84.0695
1130.066798,1130.066779,1661327448.353575,70104.000,9515,1,SF,1,100,85.1792
1130.396147,1130.396127,1661327448.682923,70423.000,9568,1,SF,1,100,86.2761
1130.733755,1130.733735,1661327449.020531,70750.000,9625,1,SF,1,100,87.3603
1131.134341,1131.134322,1661327449.421118,71138.000,9692,1,SF,1,100,86.3497
1131.400711,1131.400692,1661327449.687488,71396.000,9741,1,SF,1,100,85.3508
1131.802330,1131.802311,1661327450.089107,71785.000,9797,1,SF,1,100,84.3635
1132.132711,1132.132692,1661327450.419488,72105.000,9849,1,SF,1,100,85.4698
1132.469286,1132.469267,1661327450.756063,72431.000,9905,1,SF,1,100,84.4811
1132.798635,1132.798616,1661327451.085412,72750.000,9957,1,SF,1,100,87.6683
1133.068102,1133.068083,1661327451.354879,73011.000,10008,1,SF,1,100,86.6542
1133.400547,1133.400528,1661327451.687324,73333.000,10060,1,SF,1,100,87.7340
1133.729896,1133.729877,1661327452.016673,73652.000,10113,1,SF,1,100,88.8013
1134.066471,1134.066452,1661327452.353248,73978.000,10166,1,SF,1,100,87.7741
1134.463961,1134.463942,1661327452.750738,74363.000,10235,1,SF,1,100,88.8410
1134.799504,1134.799485,1661327453.086281,74688.000,10286,1,SF,1,100,89.8955
1135.063808,1135.063789,1661327453.350586,74944.000,10336,1,SF,1,100,88.8556
1135.400384,1135.400365,1661327453.687161,75270.000,10390,1,SF,1,100,87.8277
1135.731797,1135.731778,1661327454.018574,75591.000,10442,1,SF,1,100,88.8940
1136.129287,1136.129268,1661327454.416064,75976.000,10511,1,SF,1,100,89.9479
1136.465862,1136.465843,1661327454.752640,76302.000,10562,1,SF,1,100,88.9074
1136.731199,1136.731180,1661327455.017977,76559.000,10614,1,SF,1,100,89.9611
1137.065710,1137.065691,1661327455.352487,76883.000,10675,1,SF,1,100,91.0027
1137.398156,1137.398136,1661327455.684933,77205.000,10727,1,SF,1,100,89.9500
1137.798742,1137.798723,1661327456.085520,77593.000,10794,1,SF,1,100,90.9917
1138.134285,1138.134266,1661327456.421063,77918.000,10847,1,SF,1,100,92.0213
1138.466731,1138.466712,1661327456.753509,78240.000,10902,1,SF,1,100,93.0391
1138.732068,1138.732049,1661327457.018846,78497.000,10953,1,SF,1,100,94.0450
1139.064514,1139.064495,1661327457.351292,78819.000,11001,1,SF,1,100,92.9571
1139.399024,1139.399005,1661327457.685802,79143.000,11058,1,SF,1,100,96.0463
1139.732503,1139.732484,1661327458.019281,79466.000,11110,1,SF,1,100,97.0175
1140.064948,1140.064929,1661327458.351727,79788.000,11162,1,SF,1,100,95.8952
1140.467600,1140.467581,1661327458.754378,80178.000,11233,1,SF,1,100,96.8681
1140.796948,1140.796929,1661327459.083727,80497.000,11283,1,SF,1,100,97.8298
1141.066415,1141.066396,1661327459.353194,80758.000,11336,1,SF,1,100,98.7803
