LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1095.400557,1095.400537,1661327413.687327,36527.000,3791,2,EL,1,100,-12581.000000
1095.400557,1095.400537,1661327413.687327,36527.000,3791,2,EL,1,100,-12590.799805
1095.466633,1095.466613,1661327413.753403,36591.000,3811,1,EL,1,100,-12585.000000
1095.533226,1095.533205,1661327413.819995,36655.500,3827,2,EL,1,100,-12579.000000
1095.599818,1095.599798,1661327413.886588,36720.000,3827,2,EL,1,100,-12586.000000
1095.665894,1095.665874,1661327413.952664,36784.000,3844,1,EL,1,100,-12589.000000
1095.731454,1095.731434,1661327414.018224,36847.500,3859,2,EL,1,100,-12590.200195
1095.797014,1095.796994,1661327414.083784,36911.000,3859,2,EL,1,100,-12591.799805
1095.863606,1095.863586,1661327414.150376,36975.500,3878,2,EL,1,100,-12594.599609
1095.930199,1095.930179,1661327414.216969,37040.000,3878,2,EL,1,100,-12594.200195
1095.997307,1095.997287,1661327414.284077,37105.000,3894,1,EL,1,100,-12594.400391
1096.063900,1096.063880,1661327414.350670,37169.500,3912,2,EL,1,100,-12592.599609
1096.130492,1096.130472,1661327414.417262,37234.000,3912,2,EL,1,100,-12594.400391
1096.194503,1096.194483,1661327414.481273,37296.000,3930,1,EL,1,100,-12597.799805
1096.261096,1096.261076,1661327414.547866,37360.500,3945,2,EL,1,100,-12596.400391
1096.327688,1096.327668,1661327414.614458,37425.000,3945,2,EL,1,100,-12597.000000
1096.393764,1096.393744,1661327414.680534,37489.000,3961,1,EL,1,100,-12604.400391
1096.460357,1096.460337,1661327414.747127,37553.500,3979,2,EL,1,100,-12607.799805
1096.526949,1096.526929,1661327414.813719,37618.000,3979,2,EL,1,100,-12613.799805
1096.593025,1096.593005,1661327414.879795,37682.000,3997,2,EL,1,100,-12617.599609
1096.659102,1096.659081,1661327414.945871,37746.000,3997,2,EL,1,100,-12616.400391
1096.726210,1096.726190,1661327415.012980,37811.000,4014,1,EL,1,100,-12616.000000
1096.792286,1096.792266,1661327415.079056,37875.000,4029,2,EL,1,100,-12626.400391
1096.858362,1096.858342,1661327415.145132,37939.000,4029,2,EL,1,100,-12626.400391
1096.925471,1096.925451,1661327415.212241,38004.000,4051,1,EL,1,100,-12625.599609
1096.991547,1096.991527,1661327415.278317,38068.000,4067,2,EL,1,100,-12628.400391
1097.057623,1097.057603,1661327415.344393,38132.000,4067,2,EL,1,100,-12626.200195
1097.123700,1097.123679,1661327415.410470,38196.000,4085,1,EL,1,100,-12628.599609
1097.189260,1097.189239,1661327415.476029,38259.500,4102,2,EL,1,100,-12627.400391
1097.254819,1097.254799,1661327415.541589,38323.000,4102,2,EL,1,100,-12628.400391
1097.321412,1097.321392,1661327415.608182,38387.500,4120,2,EL,1,100,-12635.000000
1097.388004,1097.387984,1661327415.674774,38452.000,4120,2,EL,1,100,-12639.000000
1097.455113,1097.455093,1661327415.741883,38517.000,4137,1,EL,1,100,-12640.799805
1097.521189,1097.521169,1661327415.807959,38581.000,4156,2,EL,1,100,-12638.799805
1097.587265,1097.587245,1661327415.874035,38645.000,4156,2,EL,1,100,-12647.400391
1097.653341,1097.653321,1661327415.940111,38709.000,4172,1,EL,1,100,-12653.799805
1097.719934,1097.719914,1661327416.006704,38773.500,4190,2,EL,1,100,-12653.000000
1097.786526,1097.786506,1661327416.073296,38838.000,4190,2,EL,1,100,-12653.400391
1097.853635,1097.853615,1661327416.140405,38903.000,4206,1,EL,1,100,-12655.200195
1097.921776,1097.921756,1661327416.208546,38969.000,4225,2,EL,1,100,-12661.400391
1097.989917,1097.989897,1661327416.276687,39035.000,4225,2,EL,1,100,-12661.799805
1098.055993,1098.055973,1661327416.342763,39099.000,4241,1,EL,1,100,-12664.400391
1098.122585,1098.122565,1661327416.409355,39163.500,4260,2,EL,1,100,-12666.200195
1098.189178,1098.189158,1661327416.475948,39228.000,4260,2,EL,1,100,-12661.200195
1098.254738,1098.254718,1661327416.541508,39291.500,4275,2,EL,1,100,-12663.799805
1098.320298,1098.320278,1661327416.607068,39355.000,4275,2,EL,1,100,-12668.000000
1098.388439,1098.388419,1661327416.675209,39421.000,4292,1,EL,1,100,-12678.400391
1098.455547,1098.455527,1661327416.742317,39486.000,4314,2,EL,1,100,-12676.400391
1098.522656,1098.522636,1661327416.809426,39551.000,4314,2,EL,1,100,-12676.400391
1098.589765,1098.589744,1661327416.876535,39616.000,4331,1,EL,1,100,-12683.200195
1098.656357,1098.656337,1661327416.943127,39680.500,4345,2,EL,1,100,-12684.000000
1098.722949,1098.722929,1661327417.009720,39745.000,4345,2,EL,1,100,-12686.400391
1098.790058,1098.790038,1661327417.076828,39810.000,4365,1,EL,1,100,-12687.000000
1098.855102,1098.855082,1661327417.141872,39873.000,4381,2,EL,1,100,-12686.599609
1098.920145,1098.920125,1661327417.206916,39936.000,4381,2,EL,1,100,-12688.400391
1098.986738,1098.986718,1661327417.273508,40000.500,4398,2,EL,1,100,-12695.000000
1099.053330,1099.053310,1661327417.340101,40065.000,4398,2,EL,1,100,-12693.400391
1099.121471,1099.121451,1661327417.408242,40131.000,4415,1,EL,1,100,-12696.200195
1099.189096,1099.189076,1661327417.475866,40196.500,4432,2,EL,1,100,-12700.000000
1099.256721,1099.256701,1661327417.543491,40262.000,4432,2,EL,1,100,-12706.799805
1099.323829,1099.323809,1661327417.610600,40327.000,4448,1,EL,1,100,-12710.000000
1099.390422,1099.390402,1661327417.677192,40391.500,4468,2,EL,1,100,-12703.599609
1099.457014,1099.456994,1661327417.743785,40456.000,4468,2,EL,1,100,-12703.799805
1099.523090,1099.523070,1661327417.809861,40520.000,4484,2,EL,1,100,-12708.400391
1099.589167,1099.589146,1661327417.875937,40584.000,4484,2,EL,1,100,-12711.799805
1099.654210,1099.654190,1661327417.940981,40647.000,4501,1,EL,1,100,-12718.400391
1099.721835,1099.721815,1661327418.008605,40712.500,4518,2,EL,1,100,-12722.400391
1099.789460,1099.789440,1661327418.076230,40778.000,4518,2,EL,1,100,-12717.000000
1099.857601,1099.857581,1661327418.144372,40844.000,4535,1,EL,1,100,-12717.200195
1099.924193,1099.924173,1661327418.210964,40908.500,4559,2,EL,1,100,-12720.200195
1099.990786,1099.990766,1661327418.277556,40973.000,4559,2,EL,1,100,-12722.799805
1100.056862,1100.056842,1661327418.343632,41037.000,4577,2,EL,1,100,-12729.000000
1100.122938,1100.122918,1661327418.409708,41101.000,4577,2,EL,1,100,-12735.200195
1100.189530,1100.189510,1661327418.476301,41165.500,4595,2,EL,1,100,-12740.799805
1100.256123,1100.256103,1661327418.542893,41230.000,4595,2,EL,1,100,-12742.200195
1100.321167,1100.321147,1661327418.607937,41293.000,4611,1,EL,1,100,-12750.200195
1100.388275,1100.388255,1661327418.675046,41358.000,4629,2,EL,1,100,-12751.599609
1100.455384,1100.455364,1661327418.742154,41423.000,4629,2,EL,1,100,-12746.799805
1100.522492,1100.522472,1661327418.809263,41488.000,4646,1,EL,1,100,-12744.200195
1100.589085,1100.589065,1661327418.875855,41552.500,4662,2,EL,1,100,-12743.200195
1100.655677,1100.655657,1661327418.942448,41617.000,4662,2,EL,1,100,-12744.400391
1100.720721,1100.720701,1661327419.007492,41680.000,4679,1,EL,1,100,-12746.599609
1100.787830,1100.787809,1661327419.074600,41745.000,4694,2,EL,1,100,-12750.400391
1100.854938,1100.854918,1661327419.141709,41810.000,4694,2,EL,1,100,-12755.799805
1100.920498,1100.920478,1661327419.207269,41873.500,4713,2,EL,1,100,-12753.799805
1100.986058,1100.986038,1661327419.272829,41937.000,4713,2,EL,1,100,-12748.799805
1101.053167,1101.053147,1661327419.339937,42002.000,4729,1,EL,1,100,-12754.400391
1101.119243,1101.119223,1661327419.406013,42066.000,4751,2,EL,1,100,-12770.000000
1101.185319,1101.185299,1661327419.472090,42130.000,4751,2,EL,1,100,-12764.200195
1101.252428,1101.252408,1661327419.539198,42195.000,4767,1,EL,1,100,-12765.599609
1101.318504,1101.318484,1661327419.605274,42259.000,4782,2,EL,1,100,-12767.799805
1101.384580,1101.384560,1661327419.671351,42323.000,4782,2,EL,1,100,-12771.599609
1101.452721,1101.452701,1661327419.739492,42389.000,4799,1,EL,1,100,-12782.200195
1101.518281,1101.518261,1661327419.805052,42452.500,4819,2,EL,1,100,-12795.799805
1101.583841,1101.583821,1661327419.870612,42516.000,4819,2,EL,1,100,-12802.200195
1101.650433,1101.650413,1661327419.937204,42580.500,4835,2,EL,1,100,-12805.000000
1101.717026,1101.717006,1661327420.003796,42645.000,4835,2,EL,1,100,-12808.000000
1101.781037,1101.781017,1661327420.067808,42707.000,4852,1,EL,1,100,-12815.000000
1101.847629,1101.847609,1661327420.134400,42771.500,4869,2,EL,1,100,-12814.400391
1101.914222,1101.914202,1661327420.200993,42836.000,4869,2,EL,1,100,-12810.000000
1101.981330,1101.981310,1661327420.268101,42901.000,4886,1,EL,1,100,-12808.799805
1102.047923,1102.047903,1661327420.334693,42965.500,4903,2,EL,1,100,-12809.400391
1102.114515,1102.114495,1661327420.401286,43030.000,4903,2,EL,1,100,-12816.400391
1102.179559,1102.179539,1661327420.466330,43093.000,4922,1,EL,1,100,-12815.599609
1102.246151,1102.246131,1661327420.532922,43157.500,4936,2,EL,1,100,-12810.599609
1102.312744,1102.312724,1661327420.599514,43222.000,4936,2,EL,1,100,-12808.200195
1102.379336,1102.379316,1661327420.666107,43286.500,4956,2,EL,1,100,-12811.200195
1102.445928,1102.445908,1661327420.732699,43351.000,4956,2,EL,1,100,-12812.200195
1102.513037,1102.513017,1661327420.799808,43416.000,4972,1,EL,1,100,-12816.000000
1102.579629,1102.579609,1661327420.866400,43480.500,4989,2,EL,1,100,-12825.599609
1102.646222,1102.646202,1661327420.932993,43545.000,4989,2,EL,1,100,-12818.599609
1102.711265,1102.711245,1661327420.998036,43608.000,5005,1,EL,1,100,-12815.400391
1102.776825,1102.776805,1661327421.063596,43671.500,5021,2,EL,1,100,-12820.400391
1102.842385,1102.842365,1661327421.129156,43735.000,5021,2,EL,1,100,-12828.599609
1102.909494,1102.909474,1661327421.196265,43800.000,5037,1,EL,1,100,-12834.599609
1102.976086,1102.976066,1661327421.262857,43864.500,5059,2,EL,1,100,-12831.599609
1103.042679,1103.042659,1661327421.329450,43929.000,5059,2,EL,1,100,-12834.400391
