LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1095.373714,1095.373693,1661327413.660483,36501.000,3788,4,PR,1,100,127295
1095.373714,1095.373693,1661327413.660483,36501.000,3788,4,PR,1,100,127299
1095.373714,1095.373693,1661327413.660483,36501.000,3788,4,PR,1,100,127294
1095.373714,1095.373693,1661327413.660483,36501.000,3788,4,PR,1,100,127299
1095.413635,1095.413614,1661327413.700404,36539.667,3808,3,PR,1,100,127289
1095.453556,1095.453535,1661327413.740325,36578.333,3808,3,PR,1,100,127318
1095.493477,1095.493456,1661327413.780246,36617.000,3808,3,PR,1,100,127321
1095.533398,1095.533377,1661327413.820167,36655.667,3824,3,PR,1,100,127317
1095.573319,1095.573298,1661327413.860088,36694.333,3824,3,PR,1,100,127323
1095.613240,1095.613220,1661327413.900009,36733.000,3824,3,PR,1,100,127339
1095.652989,1095.652968,1661327413.939758,36771.500,3841,2,PR,1,100,127344
1095.692738,1095.692717,1661327413.979507,36810.000,3841,2,PR,1,100,127345
1095.731970,1095.731950,1661327414.018740,36848.000,3856,3,PR,1,100,127354
1095.771203,1095.771183,1661327414.057973,36886.000,3856,3,PR,1,100,127359
1095.810436,1095.810416,1661327414.097205,36924.000,3856,3,PR,1,100,127360
1095.850357,1095.850337,1661327414.137126,36962.667,3875,3,PR,1,100,127353
1095.890278,1095.890258,1661327414.177047,37001.333,3875,3,PR,1,100,127357
1095.930199,1095.930179,1661327414.216969,37040.000,3875,3,PR,1,100,127354
1095.969948,1095.969928,1661327414.256717,37078.500,3891,2,PR,1,100,127343
1096.009697,1096.009677,1661327414.296466,37117.000,3891,2,PR,1,100,127326
1096.049962,1096.049942,1661327414.336732,37156.000,3909,3,PR,1,100,127296
1096.090227,1096.090207,1661327414.376997,37195.000,3909,3,PR,1,100,127284
1096.130492,1096.130472,1661327414.417262,37234.000,3909,3,PR,1,100,127259
1096.169725,1096.169705,1661327414.456495,37272.000,3927,2,PR,1,100,127246
1096.208958,1096.208937,1661327414.495727,37310.000,3927,2,PR,1,100,127224
1096.248535,1096.248514,1661327414.535304,37348.333,3942,3,PR,1,100,127195
1096.288111,1096.288091,1661327414.574881,37386.667,3942,3,PR,1,100,127164
1096.327688,1096.327668,1661327414.614458,37425.000,3942,3,PR,1,100,127135
1096.367265,1096.367245,1661327414.654035,37463.333,3958,3,PR,1,100,127117
1096.406842,1096.406822,1661327414.693612,37501.667,3958,3,PR,1,100,127079
1096.446419,1096.446399,1661327414.733189,37540.000,3958,3,PR,1,100,127023
1096.486684,1096.486664,1661327414.773454,37579.000,3976,2,PR,1,100,126982
1096.526949,1096.526929,1661327414.813719,37618.000,3976,2,PR,1,100,126942
1096.566870,1096.566850,1661327414.853640,37656.667,3994,3,PR,1,100,126898
1096.606791,1096.606771,1661327414.893561,37695.333,3994,3,PR,1,100,126842
