LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1132.867808,1132.867789,1661327451.154585,72817,10043,1,SR,1,100,0.400000
1133.400547,1133.400528,1661327451.687324,73333,10079,1,SR,1,100,0.066667
1133.865146,1133.865126,1661327452.151922,73783,10201,1,SR,1,100,0.266667
1134.263667,1134.263648,1661327452.550444,74169,10237,1,SR,1,100,0.133333
1135.200091,1135.200071,1661327453.486868,75076,10426,1,SR,1,100,0.266667
1135.731797,1135.731778,1661327454.018574,75591,10477,1,SR,1,100,0.066667
1136.397721,1136.397702,1661327454.684499,76236,10613,1,SR,1,100,0.266667
1136.798308,1136.798289,1661327455.085085,76624,10674,1,SR,1,100,0.133333
1137.197862,1137.197843,1661327455.484640,77011,10746,1,SR,1,100,0.200000
1137.798742,1137.798723,1661327456.085520,77593,10828,1,SR,1,100,0.133333
1138.066144,1138.066125,1661327456.352922,77852,10885,1,SR,1,100,0.200000
1138.398590,1138.398571,1661327456.685368,78174,10920,1,SR,1,100,0.066667
1138.597851,1138.597832,1661327456.884629,78367,11022,1,SR,1,100,0.466667
1139.198731,1139.198712,1661327457.485509,78949,11057,1,SR,1,100,0.133333
1139.596221,1139.596201,1661327457.882999,79334,11109,1,SR,1,100,0.066667
1139.933828,1139.933809,1661327458.220607,79661,11182,1,SR,1,100,0.133333
1140.467600,1140.467581,1661327458.754378,80178,11282,1,SR,1,100,0.200000
1140.931166,1140.931147,1661327459.217944,80627,11335,1,SR,1,100,0.066667
1141.131459,1141.131440,1661327459.418237,80821,11373,1,SR,1,100,0.066667
1141.330720,1141.330701,1661327459.617498,81014,11425,1,SR,1,100,0.200000
1141.663166,1141.663147,1661327459.949944,81336,11479,1,SR,1,100,0.200000
1141.998709,1141.998690,1661327460.285487,81661,11533,1,SR,1,100,0.133333
1144.057394,1144.057375,1661327462.344173,83655,11862,1,SR,1,100,0.400000
1144.724351,1144.724332,1661327463.011130,84301,11913,1,SR,1,100,0.133333
1145.660774,1145.660755,1661327463.947553,85208,12083,1,SR,1,100,0.200000
1146.123307,1146.123288,1661327464.410086,85656,12138,1,SR,1,100,0.133333
1146.524926,1146.524907,1661327464.811705,86045,12239,1,SR,1,100,0.333333
1147.261056,1147.261037,1661327465.547835,86758,12325,1,SR,1,100,0.133333
1147.527425,1147.527407,1661327465.814205,87016,12404,1,SR,1,100,0.266667
1148.327566,1148.327548,1661327466.614346,87791,12522,1,SR,1,100,0.200000
1148.656915,1148.656896,1661327466.943695,88110,12558,1,SR,1,100,0.133333
1148.923284,1148.923266,1661327467.210064,88368,12595,1,SR,1,100,0.066667
1149.119448,1149.119429,1661327467.406228,88558,12681,1,SR,1,100,0.400000
1149.785372,1149.785353,1661327468.072152,89203,12767,1,SR,1,100,0.266667
1150.186991,1150.186972,1661327468.473771,89592,12818,1,SR,1,100,0.133333
