LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1095.373714,1095.373693,1661327413.660483,36501.000,3787,4,PI,1,100,155064
1095.373714,1095.373693,1661327413.660483,36501.000,3787,4,PI,1,100,155066
1095.373714,1095.373693,1661327413.660483,36501.000,3787,4,PI,1,100,155060
1095.373714,1095.373693,1661327413.660483,36501.000,3787,4,PI,1,100,155064
1095.413635,1095.413614,1661327413.700404,36539.667,3807,3,PI,1,100,155063
1095.453556,1095.453535,1661327413.740325,36578.333,3807,3,PI,1,100,155085
1095.493477,1095.493456,1661327413.780246,36617.000,3807,3,PI,1,100,155092
1095.533398,1095.533377,1661327413.820167,36655.667,3823,3,PI,1,100,155092
1095.573319,1095.573298,1661327413.860088,36694.333,3823,3,PI,1,100,155112
1095.613240,1095.613220,1661327413.900009,36733.000,3823,3,PI,1,100,155123
1095.652989,1095.652968,1661327413.939758,36771.500,3840,2,PI,1,100,155143
1095.692738,1095.692717,1661327413.979507,36810.000,3840,2,PI,1,100,155152
1095.731970,1095.731950,1661327414.018740,36848.000,3855,3,PI,1,100,155167
1095.771203,1095.771183,1661327414.057973,36886.000,3855,3,PI,1,100,155181
1095.810436,1095.810416,1661327414.097205,36924.000,3855,3,PI,1,100,155180
1095.850357,1095.850337,1661327414.137126,36962.667,3874,3,PI,1,100,155182
1095.890278,1095.890258,1661327414.177047,37001.333,3874,3,PI,1,100,155161
1095.930199,1095.930179,1661327414.216969,37040.000,3874,3,PI,1,100,155151
1095.969948,1095.969928,1661327414.256717,37078.500,3890,2,PI,1,100,155151
1096.009697,1096.009677,1661327414.296466,37117.000,3890,2,PI,1,100,155108
1096.049962,1096.049942,1661327414.336732,37156.000,3908,3,PI,1,100,155052
1096.090227,1096.090207,1661327414.376997,37195.000,3908,3,PI,1,100,155024
1096.130492,1096.130472,1661327414.417262,37234.000,3908,3,PI,1,100,154989
1096.169725,1096.169705,1661327414.456495,37272.000,3926,2,PI,1,100,154954
1096.208958,1096.208937,1661327414.495727,37310.000,3926,2,PI,1,100,154919
1096.248535,1096.248514,1661327414.535304,37348.333,3941,3,PI,1,100,154886
1096.288111,1096.288091,1661327414.574881,37386.667,3941,3,PI,1,100,154821
1096.327688,1096.327668,1661327414.614458,37425.000,3941,3,PI,1,100,154749
1096.367265,1096.367245,1661327414.654035,37463.333,3957,3,PI,1,100,154690
1096.406842,1096.406822,1661327414.693612,37501.667,3957,3,PI,1,100,154615
1096.446419,1096.446399,1661327414.733189,37540.000,3957,3,PI,1,100,154539
1096.486684,1096.486664,1661327414.773454,37579.000,3975,2,PI,1,100,154468
1096.526949,1096.526929,1661327414.813719,37618.000,3975,2,PI,1,100,154397
1096.566870,1096.566850,1661327414.853640,37656.667,3993,3,PI,1,100,154318
1096.606791,1096.606771,1661327414.893561,37695.333,3993,3,PI,1,100,154223
1096.646712,1096.646692,1661327414.933482,37734.000,3993,3,PI,1,100,154096
1096.686633,1096.686613,1661327414.973403,37772.667,4010,3,PI,1,100,153989
1096.726554,1096.726534,1661327415.013324,37811.333,4010,3,PI,1,100,153932
1096.766475,1096.766455,1661327415.053245,37850.000,4010,3,PI,1,100,153908
1096.806224,1096.806204,1661327415.092994,37888.500,4025,2,PI,1,100,153876
1096.845973,1096.845953,1661327415.132743,37927.000,4025,2,PI,1,100,153841
1096.885206,1096.885186,1661327415.171976,37965.000,4047,3,PI,1,100,153809
1096.924439,1096.924418,1661327415.211209,38003.000,4047,3,PI,1,100,153812
1096.963671,1096.963651,1661327415.250441,38041.000,4047,3,PI,1,100,153825
1097.003937,1097.003916,1661327415.290706,38080.000,4063,2,PI,1,100,153864
1097.044202,1097.044182,1661327415.330971,38119.000,4063,2,PI,1,100,153901
1097.084123,1097.084103,1661327415.370893,38157.667,4081,3,PI,1,100,153905
1097.124044,1097.124024,1661327415.410814,38196.333,4081,3,PI,1,100,153943
1097.163965,1097.163945,1661327415.450735,38235.000,4081,3,PI,1,100,153996
1097.203542,1097.203521,1661327415.490312,38273.333,4098,3,PI,1,100,154025
1097.243118,1097.243098,1661327415.529888,38311.667,4098,3,PI,1,100,154042
1097.282695,1097.282675,1661327415.569465,38350.000,4098,3,PI,1,100,154075
1097.322444,1097.322424,1661327415.609214,38388.500,4116,2,PI,1,100,154112
1097.362193,1097.362173,1661327415.648963,38427.000,4116,2,PI,1,100,154151
1097.402114,1097.402094,1661327415.688884,38465.667,4133,3,PI,1,100,154159
1097.442035,1097.442015,1661327415.728805,38504.333,4133,3,PI,1,100,154205
1097.481956,1097.481936,1661327415.768726,38543.000,4133,3,PI,1,100,154227
1097.521189,1097.521169,1661327415.807959,38581.000,4152,3,PI,1,100,154244
1097.560422,1097.560402,1661327415.847192,38619.000,4152,3,PI,1,100,154274
1097.599654,1097.599634,1661327415.886425,38657.000,4152,3,PI,1,100,154311
1097.639920,1097.639899,1661327415.926690,38696.000,4168,2,PI,1,100,154334
1097.680185,1097.680165,1661327415.966955,38735.000,4168,2,PI,1,100,154349
1097.719762,1097.719742,1661327416.006532,38773.333,4186,3,PI,1,100,154348
1097.759339,1097.759318,1661327416.046108,38811.667,4186,3,PI,1,100,154361
1097.798915,1097.798895,1661327416.085685,38850.000,4186,3,PI,1,100,154376
1097.839697,1097.839677,1661327416.126467,38889.500,4202,2,PI,1,100,154402
1097.880478,1097.880458,1661327416.167248,38929.000,4202,2,PI,1,100,154431
1097.921087,1097.921067,1661327416.207858,38968.333,4221,3,PI,1,100,154448
1097.961697,1097.961677,1661327416.248467,39007.667,4221,3,PI,1,100,154471
1098.002306,1098.002286,1661327416.289076,39047.000,4221,3,PI,1,100,154489
1098.042571,1098.042551,1661327416.329341,39086.000,4237,2,PI,1,100,154513
1098.082836,1098.082816,1661327416.369606,39125.000,4237,2,PI,1,100,154558
1098.122413,1098.122393,1661327416.409184,39163.333,4256,3,PI,1,100,154601
1098.161990,1098.161970,1661327416.448760,39201.667,4256,3,PI,1,100,154614
1098.201567,1098.201547,1661327416.488337,39240.000,4256,3,PI,1,100,154616
1098.241144,1098.241124,1661327416.527914,39278.333,4271,3,PI,1,100,154627
1098.280721,1098.280701,1661327416.567491,39316.667,4271,3,PI,1,100,154637
1098.320298,1098.320278,1661327416.607068,39355.000,4271,3,PI,1,100,154634
1098.359530,1098.359510,1661327416.646301,39393.000,4288,2,PI,1,100,154659
1098.398763,1098.398743,1661327416.685533,39431.000,4288,2,PI,1,100,154677
1098.440061,1098.440041,1661327416.726831,39471.000,4310,3,PI,1,100,154676
1098.481358,1098.481338,1661327416.768128,39511.000,4310,3,PI,1,100,154668
1098.522656,1098.522636,1661327416.809426,39551.000,4310,3,PI,1,100,154658
1098.562921,1098.562901,1661327416.849691,39590.000,4327,3,PI,1,100,154646
1098.603186,1098.603166,1661327416.889956,39629.000,4327,3,PI,1,100,154644
1098.643451,1098.643431,1661327416.930222,39668.000,4327,3,PI,1,100,154681
1098.683200,1098.683180,1661327416.969970,39706.500,4341,2,PI,1,100,154721
1098.722949,1098.722929,1661327417.009720,39745.000,4341,2,PI,1,100,154729
1098.762182,1098.762162,1661327417.048952,39783.000,4361,3,PI,1,100,154723
1098.801415,1098.801395,1661327417.088185,39821.000,4361,3,PI,1,100,154725
1098.840647,1098.840627,1661327417.127418,39859.000,4361,3,PI,1,100,154726
1098.880396,1098.880376,1661327417.167167,39897.500,4377,2,PI,1,100,154719
1098.920145,1098.920125,1661327417.206916,39936.000,4377,2,PI,1,100,154705
1098.960066,1098.960046,1661327417.246837,39974.667,4394,3,PI,1,100,154708
1098.999987,1098.999967,1661327417.286758,40013.333,4394,3,PI,1,100,154710
1099.039908,1099.039888,1661327417.326679,40052.000,4394,3,PI,1,100,154720
1099.080862,1099.080842,1661327417.367632,40091.667,4411,3,PI,1,100,154724
1099.121815,1099.121795,1661327417.408586,40131.333,4411,3,PI,1,100,154728
1099.162769,1099.162749,1661327417.449539,40171.000,4411,3,PI,1,100,154738
1099.209745,1099.209725,1661327417.496515,40216.500,4428,2,PI,1,100,154746
1099.256721,1099.256701,1661327417.543491,40262.000,4428,2,PI,1,100,154750
1099.296470,1099.296450,1661327417.583240,40300.500,4444,2,PI,1,100,154768
1099.336219,1099.336199,1661327417.622989,40339.000,4444,2,PI,1,100,154784
1099.376484,1099.376464,1661327417.663254,40378.000,4464,3,PI,1,100,154788
1099.416749,1099.416729,1661327417.703519,40417.000,4464,3,PI,1,100,154793
1099.457014,1099.456994,1661327417.743785,40456.000,4464,3,PI,1,100,154820
1099.496591,1099.496571,1661327417.783361,40494.333,4480,3,PI,1,100,154810
1099.536168,1099.536148,1661327417.822938,40532.667,4480,3,PI,1,100,154786
1099.575745,1099.575725,1661327417.862515,40571.000,4480,3,PI,1,100,154796
