LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1096.095389,1096.095369,1661327414.382159,37200.000,3925,1,B%,1,100,71
1097.089629,1097.089609,1661327415.376399,38163.000,4097,1,B%,1,100,71
1098.089031,1098.089011,1661327416.375801,39131.000,4253,1,B%,1,100,71
1099.087401,1099.087381,1661327417.374171,40098.000,4426,1,B%,1,100,71
1100.089900,1100.089880,1661327418.376670,41069.000,4590,1,B%,1,100,71
1101.085172,1101.085152,1661327419.371943,42033.000,4742,1,B%,1,100,71
1102.081477,1102.081457,1661327420.368248,42998.000,4916,1,B%,1,100,71
1103.074684,1103.074664,1661327421.361455,43960.000,5072,1,B%,1,100,70
1104.073054,1104.073034,1661327422.359825,44927.000,5244,1,B%,1,100,70
1105.074521,1105.074501,1661327423.361292,45897.000,5415,1,B%,1,100,69
1106.073923,1106.073903,1661327424.360694,46865.000,5570,1,B%,1,100,70
1107.068163,1107.068143,1661327425.354934,47828.000,5742,1,B%,1,100,70
1108.061370,1108.061350,1661327426.348142,48790.000,5895,1,B%,1,100,70
1109.060772,1109.060752,1661327427.347544,49758.000,6071,1,B%,1,100,70
1110.058109,1110.058089,1661327428.344882,50724.000,6226,1,B%,1,100,70
1111.059576,1111.059556,1661327429.346349,51694.000,6392,1,B%,1,100,70
1112.054848,1112.054829,1661327430.341621,52658.000,6563,1,B%,1,100,71
1113.049088,1113.049068,1661327431.335861,53621.000,6716,1,B%,1,100,70
1114.045393,1114.045373,1661327432.332166,54586.000,6892,1,B%,1,100,70
1115.044795,1115.044775,1661327433.331568,55554.000,7047,1,B%,1,100,70
1116.046262,1116.046242,1661327434.333035,56524.000,7228,1,B%,1,100,70
1117.046696,1117.046677,1661327435.333470,57493.000,7387,1,B%,1,100,70
1118.041968,1118.041949,1661327436.328743,58457.000,7558,1,B%,1,100,70
1119.040338,1119.040318,1661327437.327112,59424.000,7714,1,B%,1,100,70
1120.041805,1120.041785,1661327438.328579,60394.000,7890,1,B%,1,100,70
1121.040175,1121.040155,1661327439.326949,61361.000,8040,1,B%,1,100,70
1122.041641,1122.041622,1661327440.328416,62331.000,8198,1,B%,1,100,69
1123.033816,1123.033797,1661327441.320591,63292.000,8376,1,B%,1,100,69
1124.033218,1124.033199,1661327442.319993,64260.000,8528,1,B%,1,100,70
1125.033653,1125.033633,1661327443.320428,65229.000,8702,1,B%,1,100,69
1126.033055,1126.033035,1661327444.319830,66197.000,8873,1,B%,1,100,70
1127.033489,1127.033470,1661327445.320265,67166.000,9034,1,B%,1,100,70
1128.032891,1128.032872,1661327446.319667,68134.000,9205,1,B%,1,100,69
1129.029196,1129.029177,1661327447.315972,69099.000,9361,1,B%,1,100,69
1130.032728,1130.032709,1661327448.319504,70071.000,9533,1,B%,1,100,70
1131.033162,1131.033143,1661327449.319939,71040.000,9691,1,B%,1,100,70
1132.034629,1132.034610,1661327450.321406,72010.000,9848,1,B%,1,100,70
1133.034031,1133.034012,1661327451.320808,72978.000,10025,1,B%,1,100,69
1134.033433,1134.033414,1661327452.320210,73946.000,10184,1,B%,1,100,69
1135.029738,1135.029719,1661327453.316515,74911.000,10352,1,B%,1,100,70
1136.033270,1136.033251,1661327454.320047,75883.000,10510,1,B%,1,100,70
1137.031639,1137.031620,1661327455.318417,76850.000,10693,1,B%,1,100,70
1138.032074,1138.032055,1661327456.318851,77819.000,10845,1,B%,1,100,69
