LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1096.049962,1096.049942,1661327414.336732,37156.000,3918,3,GX,1,100,8.636
1096.090227,1096.090207,1661327414.376997,37195.000,3918,3,GX,1,100,9.003
1096.130492,1096.130472,1661327414.417262,37234.000,3918,3,GX,1,100,10.193
1096.169725,1096.169705,1661327414.456495,37272.000,3934,2,GX,1,100,10.620
1096.208958,1096.208937,1661327414.495727,37310.000,3934,2,GX,1,100,11.139
1096.248535,1096.248514,1661327414.535304,37348.333,3951,3,GX,1,100,12.604
1096.288111,1096.288091,1661327414.574881,37386.667,3951,3,GX,1,100,14.221
1096.327688,1096.327668,1661327414.614458,37425.000,3951,3,GX,1,100,15.167
1096.367265,1096.367245,1661327414.654035,37463.333,3967,3,GX,1,100,14.557
1096.406842,1096.406822,1661327414.693612,37501.667,3967,3,GX,1,100,14.069
1096.446419,1096.446399,1661327414.733189,37540.000,3967,3,GX,1,100,12.634
1096.486684,1096.486664,1661327414.773454,37579.000,3985,2,GX,1,100,10.437
1096.526949,1096.526929,1661327414.813719,37618.000,3985,2,GX,1,100,12.024
1096.566870,1096.566850,1661327414.853640,37656.667,4003,3,GX,1,100,13.062
1096.606791,1096.606771,1661327414.893561,37695.333,4003,3,GX,1,100,9.796
1096.646712,1096.646692,1661327414.933482,37734.000,4003,3,GX,1,100,8.545
1096.686633,1096.686613,1661327414.973403,37772.667,4018,3,GX,1,100,8.575
1096.726554,1096.726534,1661327415.013324,37811.333,4018,3,GX,1,100,6.134
1096.766475,1096.766455,1661327415.053245,37850.000,4018,3,GX,1,100,3.937
1096.806224,1096.806204,1661327415.092994,37888.500,4035,2,GX,1,100,1.068
1096.845973,1096.845953,1661327415.132743,37927.000,4035,2,GX,1,100,-0.977
1096.885206,1096.885186,1661327415.171976,37965.000,4057,3,GX,1,100,-3.082
1096.924439,1096.924418,1661327415.211209,38003.000,4057,3,GX,1,100,-6.226
1096.963671,1096.963651,1661327415.250441,38041.000,4057,3,GX,1,100,-7.111
1097.003592,1097.003572,1661327415.290362,38079.667,4073,3,GX,1,100,-7.690
1097.043513,1097.043493,1661327415.330283,38118.333,4073,3,GX,1,100,-8.881
1097.083434,1097.083414,1661327415.370204,38157.000,4073,3,GX,1,100,-10.284
1097.123700,1097.123679,1661327415.410470,38196.000,4090,2,GX,1,100,-11.383
1097.163965,1097.163945,1661327415.450735,38235.000,4090,2,GX,1,100,-10.925
1097.203542,1097.203521,1661327415.490312,38273.333,4107,3,GX,1,100,-9.216
1097.243118,1097.243098,1661327415.529888,38311.667,4107,3,GX,1,100,-9.094
1097.282695,1097.282675,1661327415.569465,38350.000,4107,3,GX,1,100,-9.308
1097.322444,1097.322424,1661327415.609214,38388.500,4126,2,GX,1,100,-8.057
1097.362193,1097.362173,1661327415.648963,38427.000,4126,2,GX,1,100,-7.263
1097.402114,1097.402094,1661327415.688884,38465.667,4143,3,GX,1,100,-6.744
1097.442035,1097.442015,1661327415.728805,38504.333,4143,3,GX,1,100,-6.622
1097.481956,1097.481936,1661327415.768726,38543.000,4143,3,GX,1,100,-7.233
1097.521189,1097.521169,1661327415.807959,38581.000,4162,3,GX,1,100,-7.935
1097.560422,1097.560402,1661327415.847192,38619.000,4162,3,GX,1,100,-9.430
1097.599654,1097.599634,1661327415.886425,38657.000,4162,3,GX,1,100,-9.155
1097.639920,1097.639899,1661327415.926690,38696.000,4176,2,GX,1,100,-8.423
1097.680185,1097.680165,1661327415.966955,38735.000,4176,2,GX,1,100,-6.531
1097.715632,1097.715612,1661327416.002402,38769.333,4196,3,GX,1,100,-5.707
1097.751079,1097.751059,1661327416.037849,38803.667,4196,3,GX,1,100,-4.883
1097.786526,1097.786506,1661327416.073296,38838.000,4196,3,GX,1,100,-4.639
1097.827135,1097.827115,1661327416.113905,38877.333,4212,3,GX,1,100,-4.425
1097.867745,1097.867725,1661327416.154515,38916.667,4212,3,GX,1,100,-4.120
1097.908354,1097.908334,1661327416.195124,38956.000,4212,3,GX,1,100,-3.784
1097.949135,1097.949115,1661327416.235905,38995.500,4231,2,GX,1,100,-3.479
1097.989917,1097.989897,1661327416.276687,39035.000,4231,2,GX,1,100,-3.296
1098.029838,1098.029818,1661327416.316608,39073.667,4246,3,GX,1,100,-3.693
1098.069759,1098.069739,1661327416.356529,39112.333,4246,3,GX,1,100,-2.441
1098.109680,1098.109660,1661327416.396450,39151.000,4246,3,GX,1,100,-0.092
1098.149257,1098.149237,1661327416.436027,39189.333,4265,3,GX,1,100,-0.946
1098.188834,1098.188813,1661327416.475604,39227.667,4265,3,GX,1,100,0.854
1098.228410,1098.228390,1661327416.515181,39266.000,4265,3,GX,1,100,1.648
1098.268159,1098.268139,1661327416.554929,39304.500,4281,2,GX,1,100,1.099
1098.307908,1098.307888,1661327416.594678,39343.000,4281,2,GX,1,100,0.946
1098.347485,1098.347465,1661327416.634255,39381.333,4298,3,GX,1,100,1.221
1098.387062,1098.387042,1661327416.673832,39419.667,4298,3,GX,1,100,1.251
1098.426639,1098.426619,1661327416.713409,39458.000,4298,3,GX,1,100,0.732
1098.467937,1098.467916,1661327416.754707,39498.000,4320,2,GX,1,100,0.946
1098.509234,1098.509214,1661327416.796004,39538.000,4320,2,GX,1,100,1.343
1098.549499,1098.549479,1661327416.836270,39577.000,4335,3,GX,1,100,1.495
1098.589765,1098.589744,1661327416.876535,39616.000,4335,3,GX,1,100,0.397
1098.630030,1098.630010,1661327416.916800,39655.000,4335,3,GX,1,100,-0.336
1098.669951,1098.669931,1661327416.956721,39693.667,4351,3,GX,1,100,2.258
1098.709872,1098.709852,1661327416.996642,39732.333,4351,3,GX,1,100,0.732
1098.749793,1098.749773,1661327417.036563,39771.000,4351,3,GX,1,100,2.075
1098.789025,1098.789005,1661327417.075796,39809.000,4371,2,GX,1,100,2.899
1098.828258,1098.828238,1661327417.115028,39847.000,4371,2,GX,1,100,2.136
1098.867835,1098.867815,1661327417.154605,39885.333,4387,3,GX,1,100,1.923
1098.907412,1098.907392,1661327417.194182,39923.667,4387,3,GX,1,100,1.984
1098.946989,1098.946969,1661327417.233759,39962.000,4387,3,GX,1,100,2.167
1098.986910,1098.986890,1661327417.273680,40000.667,4404,3,GX,1,100,2.045
1099.026831,1099.026811,1661327417.313601,40039.333,4404,3,GX,1,100,1.282
1099.066752,1099.066732,1661327417.353522,40078.000,4404,3,GX,1,100,1.099
1099.108049,1099.108029,1661327417.394820,40118.000,4419,2,GX,1,100,1.099
1099.149347,1099.149327,1661327417.436117,40158.000,4419,2,GX,1,100,0.854
1099.189612,1099.189592,1661327417.476382,40197.000,4438,3,GX,1,100,0.397
1099.229877,1099.229857,1661327417.516648,40236.000,4438,3,GX,1,100,0.549
1099.270143,1099.270122,1661327417.556913,40275.000,4438,3,GX,1,100,0.397
1099.309891,1099.309871,1661327417.596662,40313.500,4454,2,GX,1,100,0.488
1099.349640,1099.349620,1661327417.636411,40352.000,4454,2,GX,1,100,0.519
1099.389217,1099.389197,1661327417.675988,40390.333,4474,3,GX,1,100,0.671
1099.428794,1099.428774,1661327417.715564,40428.667,4474,3,GX,1,100,0.519
1099.468371,1099.468351,1661327417.755141,40467.000,4474,3,GX,1,100,0.427
1099.508636,1099.508616,1661327417.795407,40506.000,4490,3,GX,1,100,0.488
1099.548901,1099.548881,1661327417.835672,40545.000,4490,3,GX,1,100,0.641
1099.589167,1099.589146,1661327417.875937,40584.000,4490,3,GX,1,100,0.824
1099.628399,1099.628379,1661327417.915170,40622.000,4505,2,GX,1,100,1.221
1099.667632,1099.667612,1661327417.954402,40660.000,4505,2,GX,1,100,1.068
1099.708241,1099.708221,1661327417.995012,40699.333,4524,3,GX,1,100,0.916
1099.748851,1099.748831,1661327418.035621,40738.667,4524,3,GX,1,100,1.190
1099.789460,1099.789440,1661327418.076230,40778.000,4524,3,GX,1,100,1.190
1099.829725,1099.829705,1661327418.116496,40817.000,4541,3,GX,1,100,0.977
